seconds,EDA
121,1.3597134940889768
311,1.3599747897541363
501,1.3594629849833764
691,1.3569824951554172
881,1.3542727375287171
1071,1.3529186240956197
1261,1.3523955253629658
1451,1.3517598748089297
1641,1.3503538733126117
1831,1.3477848336393743
2021,1.3450381771406552
2211,1.3432822658970345
2401,1.3417508571897259
2591,1.3396576815236274
2781,1.3391174527423098
2971,1.3446274945153829
3161,1.358154714233126
3351,1.3723465876827938
3541,1.3754628097981432
3731,1.3682357799474432
3921,1.3634723806212292
4111,1.365680717437585
4301,1.3671479413030758
4491,1.3642215753808749
4681,1.361571833302195
4871,1.3613715160491124
5061,1.3606951496050097
5251,1.3586411979606992
5441,1.3573821237265722
5631,1.3571499249113466
5821,1.3562018232821749
6011,1.3545323504337654
6201,1.3531401787240849
6391,1.3514359301468746
6581,1.3489139075456713
6771,1.3469046806322085
6961,1.3461835011035723
7151,1.3456312076496162
7341,1.3444353079838842
7531,1.3430120012950344
7721,1.3416024395187418
7911,1.3400463265902671
8101,1.3386265735115153
8291,1.3375361272298285
8481,1.3361876999843332
8671,1.3344106754774292
8861,1.333045982175543
9051,1.3323564302723678
9241,1.3316030843705235
9431,1.3303351501837564
9621,1.3287288327150428
9811,1.3273325026754719
10001,1.3265092336931348
10191,1.3256182627661712
10381,1.324017040975174
10571,1.3222936332763868
10761,1.32098192901831
10951,1.3196210020401042
11141,1.3179820992969382
11331,1.3165094340387455
11521,1.3155106335325422
11711,1.3149190211531179
11901,1.3142549907754837
12091,1.3130278307680634
12281,1.311613967358653
12471,1.310477696266506
12661,1.3092666489609304
12851,1.3080549254127984
13041,1.307301828388421
13231,1.3062530472596914
13421,1.3042118809878849
13611,1.302134911043343
13801,1.300512271810987
13991,1.297776178375518
14181,1.2927900034806767
14371,1.2894703167072263
14561,1.2971761859293596
14751,1.3187257550864229
14941,1.339576929964634
15131,1.3425358541591617
15321,1.3299597839970998
15511,1.3178488191438225
15701,1.3143164094245776
15891,1.3158533006413504
16081,1.3190903634221498
16271,1.323405364184898
16461,1.3233606600051466
16651,1.3138988051081189
16841,1.3050782062868536
17031,1.3132679861673686
17221,1.3316138781789737
17411,1.3307152523181347
17601,1.304451945541167
17791,1.289143883335652
17981,1.3074891048565185
18171,1.3283912424843278
18361,1.3209580774418528
18551,1.3033056367488398
18741,1.3016162257945332
18931,1.3080940255720657
19121,1.3064715862360812
19311,1.300418030464116
19501,1.2988147483456725
19691,1.2991363785440262
19881,1.296363624609565
20071,1.292282296026999
20261,1.2904165234782194
20451,1.2909106282137055
20641,1.2917712186589516
20831,1.2907910001053504
