second,EDA
8400,1.4488431669688147
8401,1.4488431669688147
8402,1.4488431669688147
8403,1.4488431669688147
8404,1.4488431669688147
8405,1.4488431669688147
8406,1.4488431669688147
8407,1.4488431669688147
8408,1.4488431669688147
8409,1.4488431669688147
8410,1.4488431669688147
8411,1.4488431669688147
8412,1.4488431669688147
8413,1.4488431669688147
8414,1.4488431669688147
8415,1.4488431669688147
8416,1.4488431669688147
8417,1.4488431669688147
8418,1.4488431669688147
8419,1.4488431669688147
8420,1.4488431669688147
8421,1.4488431669688147
8422,1.4488431669688147
8423,1.4488431669688147
8424,1.4488431669688147
8425,1.4488431669688147
8426,1.4488431669688147
8427,1.4488431669688147
8428,1.4488431669688147
8429,1.4488431669688147
8430,1.4488431669688147
8431,1.4488431669688147
8432,1.4488431669688147
8433,1.4488431669688147
8434,1.4488431669688147
8435,1.4488431669688147
8436,1.4488431669688147
8437,1.4488431669688147
8438,1.4488431669688147
8439,1.4488431669688147
8440,1.4488431669688147
8441,1.4488431669688147
8442,1.4488431669688147
8443,1.4488431669688147
8444,1.4488431669688147
8445,1.4488431669688147
8446,1.4488431669688147
8447,1.4488431669688147
8448,1.4488431669688147
8449,1.4488431669688147
8450,1.4488431669688147
8451,1.4488431669688147
8452,1.4488431669688147
8453,1.4488431669688147
8454,1.4488431669688147
8455,1.4488431669688147
8456,1.4488431669688147
8457,1.4488431669688147
8458,1.4488431669688147
8459,1.4488431669688147
8460,1.4488431669688147
8461,1.4488431669688147
8462,1.4488431669688147
8463,1.4488431669688147
8464,1.4488431669688147
8465,1.4488431669688147
8466,1.4488431669688147
8467,1.4488431669688147
8468,1.4488431669688147
8469,1.4488431669688147
8470,1.4488431669688147
8471,1.4488431669688147
8472,1.4488431669688147
8473,1.4488431669688147
8474,1.4488431669688147
8475,1.4488431669688147
8476,1.4488431669688147
8477,1.4488431669688147
8478,1.4488431669688147
8479,1.4488431669688147
8480,1.4488431669688147
8481,1.4488431669688147
8482,1.4488431669688147
8483,1.4488431669688147
8484,1.4488431669688147
