seconds,EDA
80,4.155066591905865
270,4.1543152749967405
460,4.153362271109163
650,4.1547042753815715
840,4.1567419867725794
1030,4.156615717879943
1220,4.155895125150138
1410,4.157430981068751
1600,4.1590851294200055
1790,4.1577894476624015
1980,4.156468542019361
2170,4.158739595148009
2360,4.161055403111983
2550,4.158866515665496
2740,4.1550935344899305
2930,4.154305301626122
3120,4.1556525404188065
3310,4.157117358055039
3500,4.159146325079915
3690,4.161659092884514
3880,4.162583284870484
4070,4.160425104669222
4260,4.156936262274378
4450,4.1558271926835655
4640,4.157939511519567
4830,4.1598011971960185
5020,4.158441730956895
5210,4.15545896627993
5400,4.154577825110478
5590,4.156610924237899
5780,4.159453432832023
5970,4.161729514860287
6160,4.162385039397492
6350,4.159782608388259
6540,4.155619141174651
6730,4.154238142904544
6920,4.155503813389063
7110,4.155319148299348
7300,4.153597758209417
7490,4.154130519875305
7680,4.156618810512455
7870,4.156984975702624
8060,4.155736230356353
8250,4.1570941935193035
8440,4.159865929049468
8630,4.1586912928719055
8820,4.154592087939032
9010,4.154214400340013
9200,4.1573153176420155
9390,4.157021933364275
9580,4.154051895704635
9770,4.155347343477712
9960,4.158975646135609
10150,4.157661609269129
10340,4.153583687274798
10530,4.153587312556495
10720,4.156160033690388
10910,4.1563427037419
11100,4.155596080814596
11290,4.156250882222079
11480,4.155220288715171
11670,4.151245879204966
11860,4.148532240471397
12050,4.149011899911281
12240,4.152906689019464
12430,4.165893570615468
12620,4.1895583530550535
12810,4.212151597789061
13000,4.227789646991477
13190,4.250068188195973
13380,4.286749991606591
13570,4.318903767344106
13760,4.324545241915665
13950,4.307667390098222
14140,4.292023246305306
14330,4.2979556875720615
14520,4.322964113532009
14710,4.342364351815121
14900,4.3413464865603535
15090,4.329699097406305
15280,4.315398581571325
15470,4.2987633404153165
15660,4.289328661506969
15850,4.287135010613541
16040,4.265675431300515
16230,4.214493629847421
16420,4.169906824763474
16610,4.162298153313282
16800,4.168440504010916
16990,4.155981980658817
17180,4.134456514171795
17370,4.125989157982319
17560,4.124921793097598
17750,4.116288606386748
17940,4.103365929460087
18130,4.096155382291239
18320,4.094252642678905
18510,4.092685375929187
18700,4.090154558744493
18890,4.0867993688402215
19080,4.081777936589532
19270,4.073942692809217
19460,4.063719007968325
19650,4.055020272145018
19840,4.051550568413527
20030,4.051002800160734
20220,4.048405141083955
20410,4.0436685705869975
20600,4.0405766765305
20790,4.040515127505667
20980,4.04163248419807
