second,BVP
8408,-21.75
8420,-34.05
8432,-45.63
8444,-54.44
8456,-58.78
8468,-57.76
8480,-51.65
8492,-41.76
8504,-29.96
8515,-18.15
8526,-7.74
8538,0.51
8550,6.45
8562,10.25
8574,12.21
8586,12.58
8598,11.59
8610,9.51
8622,6.68
8634,3.51
8646,0.45
8658,-2.17
8670,-4.15
8682,-5.5
8694,-6.36
8705,-6.92
8716,-7.35
8728,-7.73
8740,-8.08
8752,-8.35
8764,-8.6
8776,-8.96
8788,-9.58
8800,-10.57
8812,-11.92
8824,-13.44
8836,-14.95
8848,-16.37
8860,-17.84
8872,-19.73
8884,-22.4
8895,-26.0
8906,-30.22
8918,-34.2
8930,-36.79
8942,-36.88
8954,-33.8
8966,-27.58
8978,-18.93
8990,-9.01
9002,0.89
9014,9.65
9026,16.52
9038,21.2
9050,23.72
9062,24.38
9074,23.54
9085,21.55
9096,18.64
9108,14.93
9120,10.5
9132,5.55
9144,0.51
9156,-3.95
9168,-7.02
9180,-8.08
9192,-6.88
9204,-3.65
9216,0.97
9228,6.12
9240,10.97
9252,14.87
9264,17.43
9275,18.51
9286,18.15
9298,16.56
9310,14.04
9322,10.9
9334,7.43
9346,3.81
9358,0.11
9370,-3.66
9382,-7.47
9394,-11.17
9406,-14.36
9418,-16.4
9430,-16.5
9442,-13.88
9454,-8.14
9465,0.46
9476,10.94
9488,21.73
9500,31.09
9512,37.58
9524,40.46
9536,39.75
9548,36.17
9560,30.75
9572,24.54
9584,18.44
9596,13.13
9608,9.12
9620,6.83
9632,6.55
9644,8.35
9655,11.96
9666,16.79
9678,22.02
9690,26.77
9702,30.35
9714,32.3
9726,32.37
9738,30.42
9750,26.35
9762,20.07
9774,11.72
9786,1.8
9798,-8.79
9810,-18.86
9822,-27.25
9834,-33.11
9845,-36.17
9856,-36.73
9868,-35.49
9880,-33.25
9892,-30.7
9904,-28.21
9916,-25.73
9928,-22.93
9940,-19.3
9952,-14.39
9964,-8.02
9976,-0.34
9988,8.09
10000,16.53
10012,24.21
10024,30.52
10035,35.05
10046,37.66
10058,38.42
10070,37.64
10082,35.8
10094,33.46
10106,31.17
10118,29.29
10130,27.89
10142,26.76
10154,25.53
10166,23.85
10178,21.5
10190,18.47
10202,14.99
10214,11.53
10225,8.7
10236,7.11
10248,7.12
10260,8.65
10272,11.1
10284,13.41
10296,14.44
10308,13.31
10320,9.69
10332,3.9
10344,-3.31
10356,-10.99
10368,-18.28
10380,-24.59
10392,-29.62
10404,-33.28
10415,-35.74
10426,-37.28
10438,-38.32
10450,-39.33
10462,-40.74
10474,-42.81
10486,-45.54
10498,-48.58
