second,BVP
6306,19.47
6318,20.02
6330,19.97
6342,19.16
6354,17.49
6366,15.0
6378,11.96
6390,8.85
6402,6.03
6414,3.6
6425,1.31
6436,-1.27
6448,-4.33
6460,-7.53
6472,-10.01
6484,-10.85
6496,-9.48
6508,-6.07
6520,-1.4
6532,3.44
6544,7.5
6556,10.21
6568,11.36
6580,10.94
6592,9.12
6604,6.13
6615,2.3
6626,-2.01
6638,-6.61
6650,-11.47
6662,-16.73
6674,-22.42
6686,-28.34
6698,-33.94
6710,-38.54
6722,-41.56
6734,-42.75
6746,-42.2
6758,-40.31
6770,-37.6
6782,-34.76
6794,-32.48
6805,-31.4
6816,-31.84
6828,-33.68
6840,-36.4
6852,-39.36
6864,-42.23
6876,-45.21
6888,-49.01
6900,-54.44
6912,-61.84
6924,-70.71
6936,-79.67
6948,-86.88
6960,-90.7
6972,-90.13
6984,-85.03
6995,-75.9
7006,-63.59
7018,-48.95
7030,-32.74
7042,-15.7
7054,1.32
7066,17.36
7078,31.49
7090,43.08
7102,52.04
7114,58.85
7126,64.34
7138,69.29
7150,74.05
7162,78.49
7174,82.19
7185,84.9
7196,86.99
7208,89.47
7220,93.64
7232,100.3
7244,109.02
7256,118.0
7268,124.6
7280,126.47
7292,122.73
7304,114.34
7316,103.74
7328,93.62
7340,85.76
7352,80.33
7364,76.14
7375,71.47
7386,64.97
7398,56.17
7410,45.43
7422,33.62
7434,21.68
7446,10.47
7458,0.72
7470,-6.99
7482,-12.26
7494,-15.05
7506,-15.71
7518,-14.92
7530,-13.48
7542,-12.09
7554,-11.14
7565,-10.8
7576,-11.01
7588,-11.66
7600,-12.63
7612,-13.87
7624,-15.36
7636,-17.14
7648,-19.24
7660,-21.6
7672,-24.01
7684,-26.17
7696,-27.73
7708,-28.38
7720,-27.98
7732,-26.57
7744,-24.33
7755,-21.6
7766,-18.79
7778,-16.39
7790,-14.8
7802,-14.28
7814,-14.77
7826,-15.93
7838,-17.29
7850,-18.57
7862,-19.87
7874,-21.72
7886,-24.81
7898,-29.59
7910,-35.84
7922,-42.52
7934,-47.98
7945,-50.47
7956,-48.76
7968,-42.57
7980,-32.63
7992,-20.41
8004,-7.63
8016,4.22
8028,14.17
8040,21.77
8052,27.06
8064,30.34
8076,32.02
8088,32.58
8100,32.42
8112,31.82
8124,30.94
8135,29.76
8146,28.26
8158,26.44
8170,24.39
8182,22.3
8194,20.36
8206,18.64
8218,17.12
8230,15.66
8242,14.1
8254,12.31
8266,10.35
8278,8.44
8290,6.93
8302,6.15
8314,6.24
8325,7.06
8336,8.09
8348,8.56
8360,7.58
8372,4.36
8384,-1.65
8396,-10.54
