second,BVP
4200,-0.9134463276836162
4201,-0.9134463276836162
4202,-0.9134463276836162
4203,-0.9134463276836162
4204,13.71
4205,-0.9134463276836162
4206,-0.9134463276836162
4207,-0.9134463276836162
4208,-0.9134463276836162
4209,-0.9134463276836162
4210,-0.9134463276836162
4211,-0.9134463276836162
4212,-0.9134463276836162
4213,-0.9134463276836162
4214,-0.9134463276836162
4215,-0.9134463276836162
4216,11.73
4217,-0.9134463276836162
4218,-0.9134463276836162
4219,-0.9134463276836162
4220,-0.9134463276836162
4221,-0.9134463276836162
4222,-0.9134463276836162
4223,-0.9134463276836162
4224,-0.9134463276836162
4225,-0.9134463276836162
4226,-0.9134463276836162
4227,-0.9134463276836162
4228,11.21
4229,-0.9134463276836162
4230,-0.9134463276836162
4231,-0.9134463276836162
4232,-0.9134463276836162
4233,-0.9134463276836162
4234,-0.9134463276836162
4235,-0.9134463276836162
4236,-0.9134463276836162
4237,-0.9134463276836162
4238,-0.9134463276836162
4239,-0.9134463276836162
4240,11.38
4241,-0.9134463276836162
4242,-0.9134463276836162
4243,-0.9134463276836162
4244,-0.9134463276836162
4245,-0.9134463276836162
4246,-0.9134463276836162
4247,-0.9134463276836162
4248,-0.9134463276836162
4249,-0.9134463276836162
4250,-0.9134463276836162
4251,-0.9134463276836162
4252,11.36
4253,-0.9134463276836162
4254,-0.9134463276836162
4255,-0.9134463276836162
4256,-0.9134463276836162
4257,-0.9134463276836162
4258,-0.9134463276836162
4259,-0.9134463276836162
4260,-0.9134463276836162
4261,-0.9134463276836162
4262,-0.9134463276836162
4263,-0.9134463276836162
4264,10.21
4265,-0.9134463276836162
4266,-0.9134463276836162
4267,-0.9134463276836162
4268,-0.9134463276836162
4269,-0.9134463276836162
4270,-0.9134463276836162
4271,-0.9134463276836162
4272,-0.9134463276836162
4273,-0.9134463276836162
4274,-0.9134463276836162
4275,-0.9134463276836162
4276,7.17
4277,-0.9134463276836162
4278,-0.9134463276836162
4279,-0.9134463276836162
4280,-0.9134463276836162
4281,-0.9134463276836162
4282,-0.9134463276836162
4283,-0.9134463276836162
4284,-0.9134463276836162
4285,-0.9134463276836162
4286,-0.9134463276836162
4287,-0.9134463276836162
4288,1.83
4289,-0.9134463276836162
4290,-0.9134463276836162
4291,-0.9134463276836162
4292,-0.9134463276836162
4293,-0.9134463276836162
4294,-0.9134463276836162
4295,-0.9134463276836162
4296,-0.9134463276836162
4297,-0.9134463276836162
4298,-0.9134463276836162
4299,-0.9134463276836162
4300,-5.54
4301,-0.9134463276836162
4302,-0.9134463276836162
4303,-0.9134463276836162
4304,-0.9134463276836162
4305,-0.9134463276836162
4306,-0.9134463276836162
4307,-0.9134463276836162
4308,-0.9134463276836162
4309,-0.9134463276836162
4310,-0.9134463276836162
4311,-0.9134463276836162
4312,-14.0
4313,-0.9134463276836162
4314,-0.9134463276836162
4315,-0.9134463276836162
4316,-0.9134463276836162
4317,-0.9134463276836162
4318,-0.9134463276836162
4319,-0.9134463276836162
4320,-0.9134463276836162
4321,-0.9134463276836162
4322,-0.9134463276836162
4323,-0.9134463276836162
4324,-22.04
4325,-0.9134463276836162
4326,-0.9134463276836162
4327,-0.9134463276836162
4328,-0.9134463276836162
4329,-0.9134463276836162
4330,-0.9134463276836162
4331,-0.9134463276836162
4332,-0.9134463276836162
4333,-0.9134463276836162
4334,-0.9134463276836162
4335,-28.09
