second,TEMP
0,34.07
1,34.07
2,34.07
3,34.07
4,34.07
5,34.07
6,34.07
7,34.07
8,34.07
9,34.07
10,34.07
11,34.07
12,34.07
13,34.07
14,34.07
15,34.07
16,34.07
17,34.07
18,34.07
19,34.07
20,34.07
21,34.07
22,34.07
23,34.07
24,34.07
25,34.07
26,34.07
27,34.07
28,34.07
29,34.07
30,34.07
31,34.07
32,34.07
33,34.07
34,34.07
35,34.07
36,34.07
37,34.07
38,34.07
39,34.07
40,34.07
41,34.07
42,34.07
43,34.07
44,34.07
45,34.07
46,34.07
47,34.07
48,34.07
49,34.07
50,34.07
51,34.07
52,34.07
53,34.07
54,34.07
55,34.07
56,34.07
57,34.07
58,34.07
59,34.07
60,34.07
61,34.07
62,34.07
63,34.07
64,34.07
65,34.07
66,34.07
67,34.07
68,34.07
69,34.07
70,34.07
71,34.07
72,34.07
73,34.07
74,34.07
75,34.07
76,34.07
77,34.07
78,34.07
79,34.07
80,34.07
81,34.07
82,34.07
83,34.07
84,34.07
85,34.07
86,34.07
87,34.07
88,34.07
89,34.07
90,34.07
91,34.07
92,34.07
93,34.07
94,34.07
95,34.07
96,34.07
97,34.07
98,34.07
99,34.07
100,34.07
101,34.07
102,34.07
103,34.07
104,34.07
105,34.07
106,34.07
107,34.07
108,34.07
109,34.07
110,34.07
111,34.07
112,34.07
113,34.07
114,34.07
115,34.07
116,34.07
117,34.07
118,34.07
119,34.07
120,34.07
121,34.07
122,34.07
123,34.07
124,34.07
125,34.07
126,34.07
127,34.07
128,34.07
129,34.07
130,34.07
131,34.07
132,34.07
133,34.07
134,34.07
135,34.07
136,34.07
137,34.07
138,34.07
139,34.07
140,34.07
141,34.07
142,34.07
143,34.07
144,34.07
145,34.07
146,34.07
147,34.07
148,34.07
149,34.07
150,34.07
151,34.07
152,34.07
153,34.07
154,34.07
155,34.07
156,34.07
157,34.07
158,34.07
159,34.07
160,34.07
161,34.07
162,34.07
163,34.07
164,34.07
165,34.07
166,34.07
167,34.07
168,34.07
169,34.07
170,34.07
171,34.07
172,34.07
173,34.07
174,34.07
175,34.07
176,34.07
177,34.07
178,34.07
179,34.07
180,34.07
181,34.07
182,34.07
183,34.07
184,34.07
185,34.07
186,34.07
187,34.07
188,34.07
189,34.07
190,34.07
191,34.07
192,34.07
193,34.07
194,34.07
195,34.07
196,34.07
197,34.07
198,34.07
199,34.07
200,34.07
201,34.07
202,34.07
203,34.07
204,34.07
205,34.07
206,34.07
207,34.07
208,34.07
209,34.07
210,34.07
211,34.07
212,34.07
213,34.07
214,34.07
215,34.07
216,34.07
217,34.07
218,34.07
219,34.07
220,34.07
221,34.07
222,34.07
223,34.07
224,34.07
225,34.07
226,34.07
227,34.07
228,34.07
229,34.07
230,34.07
231,34.07
232,34.07
233,34.07
234,34.07
235,34.07
236,34.07
237,34.07
238,34.07
239,34.07
240,34.07
241,34.07
242,34.07
243,34.07
244,34.07
245,34.07
246,34.07
247,34.07
248,34.07
249,34.07
250,34.07
251,34.07
252,34.07
253,34.07
254,34.07
255,34.07
256,34.07
257,34.07
258,34.07
259,34.07
260,34.07
261,34.07
262,34.07
263,34.07
264,34.07
265,34.07
266,34.07
267,34.07
268,34.07
269,34.07
270,34.07
271,34.07
272,34.07
273,34.07
274,34.07
275,34.07
276,34.07
277,34.07
278,34.07
279,34.07
280,34.07
281,34.07
282,34.07
283,34.07
284,34.07
285,34.07
286,34.07
287,34.07
288,34.07
289,34.07
290,34.07
291,34.07
292,34.07
293,34.07
294,34.07
295,34.07
296,34.07
297,34.07
298,34.07
299,34.07
300,34.07
301,34.07
302,34.07
303,34.07
304,34.07
305,34.07
306,34.07
307,34.07
308,34.07
309,34.07
310,34.07
311,34.07
312,34.07
313,34.07
314,34.07
315,34.07
316,34.07
317,34.07
318,34.07
319,34.07
320,34.07
321,34.07
322,34.07
323,34.07
324,34.07
325,34.07
326,34.07
327,34.07
328,34.07
329,34.07
330,34.07
331,34.07
332,34.07
333,34.07
334,34.07
335,34.07
336,34.07
337,34.07
338,34.07
339,34.07
340,34.07
341,34.07
342,34.07
343,34.07
344,34.07
345,34.07
346,34.07
347,34.07
348,34.07
349,34.07
350,34.07
351,34.07
352,34.07
353,34.07
354,34.07
355,34.07
356,34.07
357,34.07
358,34.07
359,34.07
360,34.07
361,34.07
362,34.07
363,34.07
364,34.07
365,34.07
366,34.07
367,34.07
368,34.07
369,34.07
370,34.07
371,34.07
372,34.07
373,34.07
374,34.07
375,34.07
376,34.07
377,34.07
378,34.07
379,34.07
380,34.07
381,34.07
382,34.07
383,34.07
384,34.07
385,34.07
386,34.07
387,34.07
388,34.07
389,34.07
390,34.07
391,34.07
392,34.07
393,34.07
394,34.07
395,34.07
396,34.07
397,34.07
398,34.07
399,34.07
400,34.07
401,34.07
402,34.07
403,34.07
404,34.07
405,34.07
406,34.07
407,34.07
408,34.07
409,34.07
410,34.07
411,34.07
412,34.07
413,34.07
414,34.07
415,34.07
416,34.07
417,34.07
418,34.07
419,34.07
420,34.07
421,34.07
422,34.07
423,34.07
424,34.07
425,34.07
426,34.07
427,34.07
428,34.07
429,34.07
430,34.07
431,34.07
432,34.07
433,34.07
434,34.07
435,34.07
436,34.07
437,34.07
438,34.07
439,34.07
440,34.07
441,34.07
442,34.07
443,34.07
444,34.07
445,34.07
446,34.07
447,34.07
448,34.07
449,34.07
450,34.07
451,34.07
452,34.07
453,34.07
454,34.07
455,34.07
456,34.07
457,34.07
458,34.07
459,34.07
460,34.07
461,34.07
462,34.07
463,34.07
464,34.07
465,34.07
466,34.07
467,34.07
468,34.07
469,34.07
470,34.07
471,34.07
472,34.07
473,34.07
474,34.07
475,34.07
476,34.07
477,34.07
478,34.07
479,34.07
480,34.07
481,34.07
482,34.07
483,34.07
484,34.07
485,34.07
486,34.07
487,34.07
488,34.07
489,34.07
490,34.07
491,34.07
492,34.07
493,34.07
494,34.07
495,34.07
496,34.07
497,34.07
498,34.07
499,34.07
500,34.07
501,34.07
502,34.07
503,34.07
504,34.07
505,34.07
506,34.07
507,34.07
508,34.07
509,34.07
510,34.07
511,34.07
512,34.07
513,34.07
514,34.07
515,34.07
516,34.07
517,34.07
518,34.07
519,34.07
520,34.07
521,34.07
522,34.07
523,34.07
524,34.07
525,34.07
526,34.07
527,34.07
528,34.07
529,34.07
530,34.07
531,34.07
532,34.07
533,34.07
534,34.07
535,34.07
536,34.07
537,34.07
538,34.07
539,34.07
540,34.07
541,34.07
542,34.07
543,34.07
544,34.07
545,34.07
546,34.07
547,34.07
