second,TEMP
4200,35.82272727272727
4201,35.82272727272727
4202,35.82272727272727
4203,35.82272727272727
4204,35.82272727272727
4205,35.82272727272727
4206,35.82272727272727
4207,35.82272727272727
4208,35.82272727272727
4209,35.82272727272727
4210,35.82272727272727
4211,35.82272727272727
4212,35.82272727272727
4213,35.82272727272727
4214,35.82272727272727
4215,35.82272727272727
4216,35.82272727272727
4217,35.82272727272727
4218,35.82272727272727
4219,35.82272727272727
4220,35.82272727272727
4221,35.82272727272727
4222,35.82272727272727
4223,35.82272727272727
4224,35.82272727272727
4225,35.82272727272727
4226,35.82272727272727
4227,35.82272727272727
4228,35.82272727272727
4229,35.82272727272727
4230,35.82272727272727
4231,35.82272727272727
4232,35.82272727272727
4233,35.82272727272727
4234,35.82272727272727
4235,35.82272727272727
4236,35.82272727272727
4237,35.82272727272727
4238,35.82272727272727
4239,35.82272727272727
4240,35.82272727272727
4241,35.82272727272727
4242,35.82272727272727
4243,35.82272727272727
4244,35.82272727272727
4245,35.82272727272727
4246,35.82272727272727
4247,35.82272727272727
4248,35.82272727272727
4249,35.82272727272727
4250,35.82272727272727
4251,35.82272727272727
4252,35.82272727272727
4253,35.82272727272727
4254,35.82272727272727
4255,35.82272727272727
4256,35.82272727272727
4257,35.82272727272727
4258,35.82272727272727
4259,35.82272727272727
4260,35.82272727272727
4261,35.82272727272727
4262,35.82272727272727
4263,35.82272727272727
4264,35.82272727272727
4265,35.82272727272727
4266,35.82272727272727
4267,35.82272727272727
4268,35.82272727272727
4269,35.82272727272727
4270,35.82272727272727
4271,35.82272727272727
4272,35.82272727272727
4273,35.82272727272727
4274,35.82272727272727
4275,35.82272727272727
4276,35.82272727272727
4277,35.82272727272727
4278,35.82272727272727
4279,35.82272727272727
4280,35.82272727272727
4281,35.82272727272727
4282,35.82272727272727
4283,35.82272727272727
4284,35.82272727272727
4285,35.82272727272727
4286,35.82272727272727
4287,35.82272727272727
4288,35.82272727272727
4289,35.82272727272727
4290,35.82272727272727
4291,35.82272727272727
4292,35.82272727272727
4293,35.82272727272727
4294,35.82272727272727
4295,35.82272727272727
4296,35.82272727272727
4297,35.82272727272727
4298,35.82272727272727
4299,35.82272727272727
4300,35.82272727272727
4301,35.82272727272727
4302,35.82272727272727
4303,35.82272727272727
4304,35.82272727272727
4305,35.82272727272727
4306,35.82272727272727
4307,35.82272727272727
4308,35.82272727272727
4309,35.82272727272727
4310,35.82272727272727
4311,35.82272727272727
4312,35.82272727272727
4313,35.82272727272727
4314,35.82272727272727
4315,35.82272727272727
4316,35.82272727272727
4317,35.82272727272727
4318,35.82272727272727
4319,35.82272727272727
4320,35.82272727272727
4321,35.82272727272727
4322,35.82272727272727
4323,35.82272727272727
4324,35.82272727272727
4325,35.82272727272727
4326,35.82272727272727
4327,35.82272727272727
4328,35.82272727272727
4329,35.82272727272727
4330,35.82272727272727
4331,35.82272727272727
4332,35.82272727272727
4333,35.82272727272727
4334,35.82272727272727
4335,35.83
4336,35.82272727272727
4337,35.82272727272727
